ItemCode,ItemCode_BuildMaster,UPC,Style,Size,Color,Brand_BuildMaster,Simplified_Brand,Vendor
H-150 P B,G H-150 P B,6.56E+11,H-150,Petite,Beige,GABRIALLA,HOSIERY (GAB+ITA),
H-150 M B,G H-150 M B,6.56E+11,H-150,Medium,Beige,GABRIALLA,HOSIERY (GAB+ITA),
H-150 T B,G H-150 T B,6.56E+11,H-150,Tall,Beige,GABRIALLA,HOSIERY (GAB+ITA),
H-150 XT B,G H-150 XT B,6.56E+11,H-150,X-Tall,Beige,GABRIALLA,HOSIERY (GAB+ITA),
H-150 Q B,G H-150 Q B,6.56E+11,H-150,Queen,Beige,GABRIALLA,HOSIERY (GAB+ITA),
H-150 Q+ B,G H-150 Q+ B,6.56E+11,H-150,Queen Plus,Beige,GABRIALLA,HOSIERY (GAB+ITA),
H-150 P ND,G H-150 P ND,6.56E+11,H-150,Petite,Nude,GABRIALLA,HOSIERY (GAB+ITA),
H-150 M ND,G H-150 M ND,6.56E+11,H-150,Medium,Nude,GABRIALLA,HOSIERY (GAB+ITA),
H-150 T ND,G H-150 T ND,6.56E+11,H-150,Tall,Nude,GABRIALLA,HOSIERY (GAB+ITA),
H-150 XT ND,G H-150 XT ND,6.56E+11,H-150,X-Tall,Nude,GABRIALLA,HOSIERY (GAB+ITA),
H-150 Q ND,G H-150 Q ND,6.56E+11,H-150,Queen,Nude,GABRIALLA,HOSIERY (GAB+ITA),
H-150 Q+ ND,G H-150 Q+ ND,6.56E+11,H-150,Queen Plus,Nude,GABRIALLA,HOSIERY (GAB+ITA),
H-150 P BL,G H-150 P BL,6.56E+11,H-150,Petite,Black,GABRIALLA,HOSIERY (GAB+ITA),
H-150 M BL,G H-150 M BL,6.56E+11,H-150,Medium,Black,GABRIALLA,HOSIERY (GAB+ITA),
H-150 T BL,G H-150 T BL,6.56E+11,H-150,Tall,Black,GABRIALLA,HOSIERY (GAB+ITA),
H-150 XT BL,G H-150 XT BL,6.56E+11,H-150,X-Tall,Black,GABRIALLA,HOSIERY (GAB+ITA),
H-150 Q BL,G H-150 Q BL,6.56E+11,H-150,Queen,Black,GABRIALLA,HOSIERY (GAB+ITA),
H-150 Q+ BL,G H-150 Q+ BL,6.56E+11,H-150,Queen Plus,Black,GABRIALLA,HOSIERY (GAB+ITA),
H-260 P B,G H-260 P B,6.56E+11,G H-260,Petite,Beige,GABRIALLA,GABRIALLA,
H-260 M B,G H-260 M B,6.56E+11,G H-260,Medium,Beige,GABRIALLA,GABRIALLA,
H-260 T B,G H-260 T B,6.56E+11,G H-260,Tall,Beige,GABRIALLA,GABRIALLA,
H-260 XT B,G H-260 XT B,6.56E+11,G H-260,X-Tall,Beige,GABRIALLA,GABRIALLA,
H-260 Q B,G H-260 Q B,6.56E+11,G H-260,Queen,Beige,GABRIALLA,GABRIALLA,
H-260 P ND,G H-260 P ND,6.56E+11,G H-260,Petite,Nude,GABRIALLA,GABRIALLA,
H-260 M ND,G H-260 M ND,6.56E+11,G H-260,Medium,Nude,GABRIALLA,GABRIALLA,
H-260 T ND,G H-260 T ND,6.56E+11,G H-260,Tall,Nude,GABRIALLA,GABRIALLA,
H-260 XT ND,G H-260 XT ND,6.56E+11,G H-260,X-Tall,Nude,GABRIALLA,GABRIALLA,
H-260 Q ND,G H-260 Q ND,6.56E+11,G H-260,Queen,Nude,GABRIALLA,GABRIALLA,
H-260 P BL,G H-260 P BL,6.56E+11,G H-260,Petite,Black,GABRIALLA,GABRIALLA,
H-260 M BL,G H-260 M BL,6.56E+11,G H-260,Medium,Black,GABRIALLA,GABRIALLA,
H-260 T BL,G H-260 T BL,6.56E+11,G H-260,Tall,Black,GABRIALLA,GABRIALLA,
H-260 XT BL,G H-260 XT BL,6.56E+11,G H-260,X-Tall,Black,GABRIALLA,GABRIALLA,
H-260 Q BL,G H-260 Q BL,6.56E+11,G H-260,Queen,Black,GABRIALLA,GABRIALLA,
H-40 S B,G H-40 S B,6.56E+11,H-40,Small,Beige,GABRIALLA,HOSIERY (GAB+ITA),
